CHROMATOGRAM
S:\raw data Q Exactive\@Experiments\DP00026-PhD Project\KU data\PCI-flowrate-IS-KU\Exp4\1uM\240815-PAN-001-Blank-1uM-05ulmin.raw
Data points: 117265
Time(min),ElutingPump_Pressure bar
0,340.8
0.000166667,340.8
0.000333333,340.82
0.0005,340.83
0.000666667,340.83
0.000833333,340.82
0.001,340.85
0.001166667,340.88
0.001333333,340.9
0.0015,340.91
0.001666667,340.92
0.001833333,340.95
0.002,340.97
0.002166667,340.99
0.002333333,341.03
0.0025,341.1
0.002666667,341.16
0.002833333,341.22
0.003,341.27
0.003166667,341.34
0.003333333,341.4
0.0035,341.44
0.003666667,341.47
0.003833333,341.52
0.004,341.57
0.004166667,341.6
0.004333333,341.62
0.0045,341.64
0.004666667,341.68
0.004833333,341.71
0.005,341.74
0.005166667,341.77
0.005333333,341.83
0.0055,341.88
0.005666667,341.92
0.005833333,341.96
0.006,342.02
0.006166667,342.07
0.006333333,342.1
0.0065,342.12
0.006666667,342.15
0.006833333,342.21
0.007,342.26
0.007166667,342.3
0.007333333,342.33
0.0075,342.38
0.007666667,342.43
0.007833333,342.47
0.008,342.51
0.008166667,342.56
0.008333333,342.61
0.0085,342.64
0.008666667,342.68
0.008833333,342.73
0.009,342.78
0.009166667,342.8
0.009333333,342.8
0.0095,342.8
0.009666667,342.83
0.009833333,342.86
0.01,342.88
0.010166667,342.9
0.010333333,342.93
0.0105,342.95
0.010666667,342.98
0.010833333,343.03
0.011,343.07
0.011166667,343.11
0.011333333,343.16
0.0115,343.19
0.011666667,343.21
0.011833333,343.25
0.012,343.29
0.012166667,343.32
0.012333333,343.36
0.0125,343.39
0.012666667,343.43
0.012833333,343.46
0.013,343.5
0.013166667,343.53
0.013333333,343.55
0.0135,343.58
0.013666667,343.6
0.013833333,343.63
0.014,343.66
0.014166667,343.71
0.014333333,343.76
0.0145,343.81
0.014666667,343.84
0.014833333,343.87
0.015,343.91
0.015166667,343.95
0.015333333,343.98
0.0155,344.02
0.015666667,344.07
0.015833333,344.12
0.016,344.16
0.016166667,344.19
0.016333333,344.22
0.0165,344.24
0.016666667,344.27
0.016833333,344.3
0.017,344.35
0.017166667,344.41
0.017333333,344.46
0.0175,344.49
0.017666667,344.53
0.017833333,344.57
0.018,344.61
0.018166667,344.64
0.018333333,344.68
0.0185,344.73
0.018666667,344.78
0.018833333,344.84
0.019,344.88
0.019166667,344.92
0.019333333,344.96
0.0195,345
0.019666667,345.04
0.019833333,345.1
0.02,345.16
0.020166667,345.21
0.020333333,345.26
0.0205,345.29
0.020666667,345.33
0.020833333,345.37
0.021,345.41
0.021166667,345.45
0.021333333,345.5
0.0215,345.54
0.021666667,345.59
0.021833333,345.63
0.022,345.67
0.022166667,345.7
0.022333333,345.73
0.0225,345.77
0.022666667,345.8
0.022833333,345.83
0.023,345.87
0.023166667,345.91
0.023333333,345.94
0.0235,345.97
0.023666667,346
0.023833333,346.03
0.024,346.05
0.024166667,346.09
0.024333333,346.14
0.0245,346.19
0.024666667,346.21
0.024833333,346.23
0.025,346.26
0.025166667,346.28
0.025333333,346.31
0.0255,346.35
0.025666667,346.4
0.025833333,346.44
0.026,346.49
0.026166667,346.53
0.026333333,346.57
0.0265,346.6
0.026666667,346.62
0.026833333,346.64
0.027,346.67
0.027166667,346.71
0.027333333,346.76
0.0275,346.8
0.027666667,346.83
0.027833333,346.86
0.028,346.89
0.028166667,346.92
0.028333333,346.94
0.0285,346.98
0.028666667,347.02
0.028833333,347.06
0.029,347.08
0.029166667,347.1
0.029333333,347.13
0.0295,347.15
0.029666667,347.17
0.029833333,347.19
0.03,347.23
0.030166667,347.26
0.030333333,347.29
0.0305,347.31
0.030666667,347.34
0.030833333,347.36
0.031,347.38
0.031166667,347.4
0.031333333,347.43
0.0315,347.46
0.031666667,347.5
0.031833333,347.54
0.032,347.57
0.032166667,347.61
0.032333333,347.63
0.0325,347.65
0.032666667,347.67
0.032833333,347.71
0.033,347.75
0.033166667,347.78
0.033333333,347.79
0.0335,347.8
0.033666667,347.82
0.033833333,347.84
0.034,347.86
0.034166667,347.89
0.034333333,347.93
0.0345,347.97
0.034666667,348
0.034833333,348.02
0.035,348.05
0.035166667,348.08
0.035333333,348.1
0.0355,348.11
0.035666667,348.15
0.035833333,348.19
0.036,348.23
0.036166667,348.26
0.036333333,348.28
0.0365,348.3
0.036666667,348.31
0.036833333,348.33
0.037,348.35
0.037166667,348.38
0.037333333,348.41
0.0375,348.44
0.037666667,348.45
0.037833333,348.47
0.038,348.49
0.038166667,348.51
0.038333333,348.53
0.0385,348.57
0.038666667,348.61
0.038833333,348.65
0.039,348.68
0.039166667,348.71
0.039333333,348.74
0.0395,348.77
0.039666667,348.79
0.039833333,348.81
0.04,348.84
0.040166667,348.88
0.040333333,348.92
0.0405,348.94
0.040666667,348.97
0.040833333,348.99
0.041,349.01
0.041166667,349.02
0.041333333,349.05
0.0415,349.08
0.041666667,349.11
0.041833333,349.13
0.042,349.15
0.042166667,349.18
0.042333333,349.2
0.0425,349.23
0.042666667,349.26
0.042833333,349.29
0.043,349.31
0.043166667,349.33
0.043333333,349.34
0.0435,349.35
0.043666667,349.36
0.043833333,349.37
0.044,349.38
0.044166667,349.41
0.044333333,349.45
0.0445,349.49
0.044666667,349.52
0.044833333,349.54
0.045,349.57
0.045166667,349.59
0.045333333,349.61
0.0455,349.62
0.045666667,349.65
0.045833333,349.68
0.046,349.71
0.046166667,349.73
0.046333333,349.75
0.0465,349.77
0.046666667,349.79
0.046833333,349.81
0.047,349.83
0.047166667,349.86
0.047333333,349.88
0.0475,349.9
0.047666667,349.9
0.047833333,349.91
0.048,349.91
0.048166667,349.92
0.048333333,349.92
0.0485,349.93
0.048666667,349.94
0.048833333,349.97
0.049,349.98
0.049166667,349.99
0.049333333,350.01
0.0495,350.02
0.049666667,350.03
0.049833333,350.04
0.05,350.07
0.050166667,350.1
0.050333333,350.12
0.0505,350.13
0.050666667,350.15
0.050833333,350.17
0.051,350.19
0.051166667,350.21
0.051333333,350.24
0.0515,350.26
0.051666667,350.28
0.051833333,350.3
0.052,350.31
0.052166667,350.33
0.052333333,350.34
0.0525,350.35
0.052666667,350.36
0.052833333,350.39
0.053,350.42
0.053166667,350.45
0.053333333,350.46
0.0535,350.48
0.053666667,350.49
0.053833333,350.49
0.054,350.49
0.054166667,350.51
0.054333333,350.54
0.0545,350.57
0.054666667,350.58
0.054833333,350.58
0.055,350.59
0.055166667,350.59
0.055333333,350.59
0.0555,350.6
0.055666667,350.63
0.055833333,350.66
0.056,350.68
0.056166667,350.69
0.056333333,350.71
0.0565,350.72
0.056666667,350.74
0.056833333,350.75
0.057,350.77
0.057166667,350.8
0.057333333,350.83
0.0575,350.85
0.057666667,350.86
0.057833333,350.89
0.058,350.91
0.058166667,350.93
0.058333333,350.95
0.0585,350.98
0.058666667,351.01
0.058833333,351.03
0.059,351.04
0.059166667,351.05
0.059333333,351.06
0.0595,351.06
0.059666667,351.06
0.059833333,351.07
0.06,351.09
