sample,scan,target,apex_mz,fwhm,R
60K,Mass spectrum 1,204.1173,204.11741688572786,0.0032011963934337473,63762.853570749634
60K,Mass spectrum 1,204.123,204.12266853233237,0.0030563554859099895,66786.29808389502
60K,Mass spectrum 2,204.1173,204.11740725250905,0.002636031336180622,77433.60424093336
60K,Mass spectrum 2,204.123,204.12265889787616,0.0029244732670576923,69798.09362499102
60K,Mass spectrum 3,204.1173,NA,NA,NA
60K,Mass spectrum 3,204.123,204.12321072762325,0.0027172911621278217,75120.10989936796
60K,Mass spectrum 4,204.1173,NA,NA,NA
60K,Mass spectrum 4,204.123,204.12176995712147,0.003960258847484965,51542.532399555836
120K,Mass spectrum 1,204.1173,204.11749731568963,0.0018223817127704933,112005.89639663254
120K,Mass spectrum 1,204.123,204.12204575027923,0.002070930971171947,98565.35470845069
120K,Mass spectrum 2,204.1173,204.11793917462185,0.0018610413654300828,109679.42086953593
120K,Mass spectrum 2,204.123,204.1223155493931,0.002037193141291027,100197.8219011846
120K,Mass spectrum 3,204.1173,204.11960081603536,0.001984759928063795,102843.47135885668
120K,Mass spectrum 3,204.123,204.12222665684186,0.0016914402784209415,120679.53522272859
120K,Mass spectrum 4,204.1173,NA,NA,NA
120K,Mass spectrum 4,204.123,204.12216130367966,0.001706742250462412,119597.53222747977
240K,Mass spectrum 1,204.1173,204.1174759854875,8.436274738983229e-4,241952.1439270818
240K,Mass spectrum 1,204.123,204.12250593850914,7.998749584885445e-4,255193.019574237
240K,Mass spectrum 2,204.1173,204.11854026062053,0.001064474274926397,191755.25897489098
240K,Mass spectrum 2,204.123,204.12246853310623,7.500674587959111e-4,272138.8138352056
240K,Mass spectrum 3,204.1173,204.11978643773304,0.001170517128798565,174384.27974757142
240K,Mass spectrum 3,204.123,204.12217590082642,8.199108901294494e-4,248956.53705562948
240K,Mass spectrum 4,204.1173,204.11928732273807,0.0023677519955072057,86208.05207219892
240K,Mass spectrum 4,204.123,204.1223487184601,8.252099723904394e-4,247358.07315460042
