peak_id,mz,rt,intensity,homologue_id,within_series_id
1449,69.06869,459.6,1449,NA,NA
262,69.06984,459.6,262,NA,NA
354,70.06511,59.339999999999996,354,NA,NA
156,72.08076,78.06,156,NA,NA
38,73.06476,936.0600000000001,38,NA,NA
764,73.06477,172.02,764,NA,NA
409,76.07565,58.379999999999995,409,NA,NA
1309,76.95424,46.14,1309,NA,NA
627,77.03687,387.18,627,NA,NA
383,77.03852,387.18,383,NA,NA
1175,79.95713,313.38,1175,NA,NA
87,80.04941,227.76,87,NA,NA
149,80.04942,59.58,149,NA,NA
69,80.94776,45.78,69,NA,NA
1712,80.97485,46.02,1712,NA,NA
423,83.0215,51.24,423,NA,NA
1030,84.04427,49.019999999999996,1030,NA,NA
316,84.95962,42.66,316,NA,NA
454,85.0283,50.519999999999996,454,NA,NA
243,86.09634,180.18,243,NA,NA
291,86.09635,166.74,291,NA,NA
722,87.00874,59.7,722,NA,NA
166,87.04397,338.34000000000003,166,NA,NA
203,87.04398,391.14,203,NA,NA
723,87.04402,441.12,723,NA,NA
802,88.04038,59.46,802,NA,NA
34,89.02437,91.25999999999999,34,NA,NA
268,89.02438,50.94,268,NA,NA
466,90.05486,48.720000000000006,466,NA,NA
140,90.97652,44.94,140,NA,NA
609,91.05409,444.35999999999996,609,NA,NA
99,92.928,45.9,99,NA,NA
922,93.03454,276.96,922,NA,NA
1765,96.02348,41.879999999999995,1765,NA,NA
403,96.92165,45.9,403,NA,NA
587,96.96008,42.48,587,NA,NA
127,96.9696,359.58000000000004,127,NA,NA
30,96.96961,396.24,30,NA,NA
198,100.07559,265.79999999999995,198,NA,NA
482,101.0232,431.94,482,NA,NA
744,101.09598,364.8,744,NA,NA
159,102.95681,45.42,159,NA,NA
861,103.00368,59.94,861,NA,NA
299,103.04005,213.42,299,NA,NA
796,104.05275,104.94000000000001,796,NA,NA
264,104.0705,51.54,264,NA,NA
100,104.10688,52.8,100,NA,NA
821,105.03339,306.47999999999996,821,NA,NA
649,105.06961,406.08,649,NA,NA
853,106.00783,41.879999999999995,853,NA,NA
1103,106.04977,47.1,1103,NA,NA
1051,106.08615,50.76,1051,NA,NA
810,107.05001,313.32000000000005,810,NA,NA
345,107.07017,364.74,345,NA,NA
683,107.08544,325.74,683,NA,NA
1697,108.90193,46.14,1697,NA,NA
1754,109.02936,263.4,1754,NA,NA
443,109.06469,384.12,443,NA,NA
353,111.00881,107.58,353,NA,NA
436,111.11673,427.62,436,NA,NA
60,111.11674,459.6,60,NA,NA
108,112.05045,168.12,108,NA,NA
1291,112.89562,46.02,1291,NA,NA
32,112.9856,45.480000000000004,32,NA,NA
712,113.02438,50.699999999999996,712,NA,NA
240,113.03448,233.33999999999997,240,NA,NA
49,114.06611,63.120000000000005,49,NA,NA
48,114.06613,59.28,48,NA,NA
206,114.09125,301.02000000000004,206,NA,NA
533,115.00368,105.41999999999999,533,NA,NA
766,115.03649,55.74,766,NA,NA
193,115.03888,440.1,193,NA,NA
194,115.03888,440.16,194,NA,NA
891,115.0389,432,891,NA,NA
966,115.04003,205.86,966,NA,NA
1451,115.11165,402.3,1451,NA,NA
81,116.07048,59.339999999999996,81,NA,NA
468,116.0705,49.98,468,NA,NA
850,116.10691,343.08,850,NA,NA
622,116.98583000000001,932.76,622,NA,NA
